concept,file,line,quote,classification,disposition
min_lot_q17,docs/ops/PIPELINE_V5_SUB_GATE_SPEC.md,253,"14-day, minimum lot size, KS kill-switch",ACTIVE_BUT_OBSOLETE,"FIXED by slice b3 (SUPERSEDED block, evidence-based)"
min_lot_q17,G:/.../03 Pipeline/Q17 Live Burn-In DXZ.md,105,"typically from min-lot to the Q11-allocated risk percent",ACTIVE_BUT_OBSOLETE,"FIXED: residual -> evidence-based initial live risk (section 10), Q15 allocation"
min_lot_q17,G:/.../12 ToDo/00_CEO_Masterplan_2026-08-21.md,36,"14-Tage-Min-Lot-Live-Burn-In vor dem Size-Up",HISTORICAL_ONLY,"dated masterplan; no fix"
day14_wait,framework/include/QM/QM_News.mqh,-,"14-day news-calendar staleness -> INIT_FAILED",STILL_ACTIVE_AND_INTENTIONAL,"distinct class-A safety (NOT the Q17 wait); keep"
day14_wait,G:/.../03 Pipeline/Q16 Operational Readiness.md,93,"News calendar present and current (age < 14 days)",STILL_ACTIVE_AND_INTENTIONAL,"distinct news-staleness safety; keep"
day14_wait,G:/.../03 Pipeline/Q17 Live Burn-In DXZ.md,87,"Final PASS/FAIL decision after >=14 days | Day 14+",ACTIVE_BUT_OBSOLETE,"FIXED: residual -> evidence-based observation window (section 10)"
day14_wait,tools/strategy_farm/continuous_retention_runner.py,-,"newest 10 + trailing 14 days backup rotation",STILL_ACTIVE_AND_INTENTIONAL,"distinct backup-retention window; keep"
symbol_family_caps,tools/strategy_farm/config/ftmo_probability_contract.v1.json,39,"q15_discrete_count_caps family_max 3 symbol_max 2 status ADVISORY",STILL_ACTIVE_AND_INTENTIONAL,"converted to ADVISORY (b1/b2); not builder-enforced; keep"
symbol_family_caps,tools/strategy_farm/portfolio/build_book_ftmo.py,71,"account-wide risk budget -- NOT via a per-symbol cap",STILL_ACTIVE_AND_INTENTIONAL,"keep"
symbol_family_caps,tools/strategy_farm/portfolio/recompose/recompose.py,172,"static per-symbol cap advisory",STILL_ACTIVE_AND_INTENTIONAL,"keep"
symbol_family_caps,tools/strategy_farm/config/concentration_tail_limits.v1.json,8,"symbol 46% / family 57.5% of budget",STILL_ACTIVE_AND_INTENTIONAL,"distinct percent-of-budget economic cap; keep"
correlation_cap,tools/strategy_farm/config/ftmo_probability_contract.v1.json,30,"hard_book_admission 0.50 status ADVISORY former ROT_SEALED",STILL_ACTIVE_AND_INTENTIONAL,"admit-with-WARN (b1); UNVERIFIED still fail-closed; keep"
correlation_cap,tools/strategy_farm/portfolio/build_book_ftmo.py,322,"worst >= max_pairwise_correlation -> ADMITTED_CORRELATION_WARN",STILL_ACTIVE_AND_INTENTIONAL,"admit-with-WARN; keep"
correlation_cap,tools/strategy_farm/portfolio/book_reoptimizer.py,153,"--max-corr default 0.50 (ADVISORY); --hard-max-corr opt-in",STILL_ACTIVE_AND_INTENTIONAL,"advisory default; keep"
correlation_cap,tools/strategy_farm/portfolio/ftmo_timebox_eval.py,112,"q09 marginal 0.40 maximum_budget_exclusive",STILL_ACTIVE_AND_INTENTIONAL,"distinct Q09 gate (RATIFIED); not the book-admission cap; keep"
correlation_cap,G:/.../03 Pipeline/Q08 Davey Statistical Validation.md,45,"Pairwise |r| < 0.50 against every EA in Q15+ status",STILL_ACTIVE_AND_INTENTIONAL,"Q08 gate criterion (RED); distinct from book-admission cap; NOT touched"
hr16,tools/strategy_farm/prompts/autonomous_loop.md,253,"HR16 sequence ... exactly ONE active source ... cannot violate",ACTIVE_BUT_OBSOLETE,"FIXED: rewrote to Controlled Parallelism (section 24)"
hr16,tools/strategy_farm/agent_router.py,572,"kimi at max_parallel 1 ... machine-wide single-flight",STILL_ACTIVE_AND_INTENTIONAL,"per-lane pacing / adapter lock; distinct from HR16; keep"
hr16,G:/.../01 Identity/Hard Rules.md,-,"HR16 one research / one EA at a time",ACTIVE_BUT_OBSOLETE,"FIXED by slice b4 (Controlled Parallelism annex)"
hr16,G:/.../12 ToDo/09_Research_Sourcing.md,45,"die naechste (HR16)",ACTIVE_BUT_OBSOLETE,"NOT_FIXED: low-value parenthetical cross-ref; canonical supersession on Hard Rules page"
ftmo_speed,tools/strategy_farm/ftmo/ftmo_fitness.py,163,"Time-to-target: secondary; only if first-passage median present",STILL_ACTIVE_AND_INTENTIONAL,"already reframed secondary (section 57); keep"
ftmo_speed,tools/strategy_farm/config/ftmo_probability_contract.v1.json,16,"horizon phase1 60 / phase2 30 TIMEBOX_60_30_CALENDAR",STILL_ACTIVE_AND_INTENTIONAL,"evaluation horizon; first_passage DIAGNOSTIC_ONLY; not a speed pass/fail; keep"
ftmo_speed,tools/strategy_farm/portfolio/challenge_book_60d.py,3,"OWNER 2026-07-27 keep 60-day Phase 1 / 30-day Phase 2 target",STILL_ACTIVE_AND_INTENTIONAL,"evaluation window (dated OWNER); section 15 reframes priority; keep"
ftmo_speed,G:/.../01 Identity/Business Model.md,40,"Interner Anspruch ... P(Phase-1-Pass in 60 Tagen) >= 0,80",ACTIVE_BUT_OBSOLETE,"FIXED: superseded annex (section 15 - evidence not eternal hard target)"
ftmo_speed,G:/.../08 Current State/FTMO Campaign.md,37,"Success probability > speed. Fastest-+10% / <=30d / 60-day first-passage hard targets ...",STILL_ACTIVE_AND_INTENTIONAL,"new policy page (b4); lists old targets as superseded; keep"
ftmo_speed,G:/.../08 Current State/FTMO Hindernisse-Analyse 2026-08-16 (Import).md,60,"Mit mindestens 80% Wahrscheinlichkeit in 60 Tagen bestehen",HISTORICAL_ONLY,"dated import analysis; no fix"
